id,label,count,percentage,train,validation
0,sentimental,79,1.9760,70,9
1,afraid,11,0.2751,11,0
2,proud,123,3.0765,111,12
3,trusting,430,10.7554,385,45
4,joyful,130,3.2516,117,13
5,angry,26,0.6503,22,4
6,sad,76,1.9010,71,5
7,jealous,5,0.1251,5,0
8,grateful,491,12.2811,443,48
9,prepared,20,0.5003,19,1
10,embarrassed,8,0.2001,7,1
11,surprised,82,2.0510,74,8
12,annoyed,21,0.5253,21,0
13,lonely,2,0.0500,2,0
14,guilty,24,0.6003,21,3
15,confident,340,8.5043,308,32
16,disappointed,54,1.3507,52,2
17,caring,1133,28.3392,1020,113
18,apprehensive,100,2.5013,93,7
19,anxious,16,0.4002,15,1
20,hopeful,612,15.3077,533,79
21,content,97,2.4262,91,6
22,impressed,118,2.9515,105,13
