dialogue_id,turn_id,speaker,text,emotion,emotion_id,strategy,strategy_id,split
20180825-043229_970_live,0,persuader,Hello how are  you doing today?,caring,17,no_strategy,0,train
20180825-043229_970_live,0,persuadee,"I'm good, how are you?",,,,,train
20180825-043229_970_live,1,persuader,"I am well.   Just enjoying the sunny day and trying to help out a charity I am working on, Save the Children.",caring,17,no_strategy,0,train
20180825-043229_970_live,1,persuadee,I wish I had some sun. Please tell me more about this charity,,,,,train
20180825-043229_970_live,2,persuader,"This charity is n international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. I have recently donated some money to it.   Would you be interested in how much I donated?",confident,15,self-modeling,9,train
20180825-043229_970_live,2,persuadee,"Yes please. And also, was the donation mandatory or voluntary?",,,,,train
20180825-043229_970_live,3,persuader,I donate about $15 a month and it is all voluntary.  I rather put my money into this charity then church offering because I know it directly helps children.  Would you like to know how I know it helps?,trusting,3,personal-story,10,train
20180825-043229_970_live,3,persuadee,"That sounds like a reasonable amount. Sure, tell me more about how it's used",,,,,train
20180825-043229_970_live,4,persuader,"A year ago, I saw kid begging on the street who look really hungry.   I was about to give him some money until a representative for ""Save the Children"" walked ahead of me and help this kid out.   This person took them to their facility and provided food, shelter, and clothing.   A month later I saw the kid was healthier, happy, and cleaner.  I was so impress I decided to make a donation.   Would you be interested in a donation?",impressed,22,personal-story,10,train
20180825-043229_970_live,4,persuadee,Wow. Nice story. I'm very particular about who I donate to so I'd need more information,,,,,train
20180825-043229_970_live,5,persuader,Understand.   ,proud,2,no_strategy,0,train
20180825-043229_970_live,5,persuadee,About how many people a month does the charity help?,,,,,train
20180825-043229_970_live,6,persuader,Since it is international it helps more then 1000's of kids per month.,confident,15,credibility-appeal,2,train
20180825-043229_970_live,6,persuadee,And is there a minimum amount required per month (like on of those sponsor a kid charities) or can it be just a one time donation?,,,,,train
20180825-043229_970_live,7,persuader,"No minimum, can be a one time donation.",trusting,3,donation-information,6,train
20180825-043229_970_live,7,persuadee,That sounds doable. Do you know by any chance if this is a registered charity? I want to make sure not all the money is going to the staff via salaries,,,,,train
20180825-043229_970_live,8,persuader,Its non-governmental but is register to for tax purposes.   Only about 25% goes to the management/staff of the charity.,trusting,3,credibility-appeal,2,train
20180825-043229_970_live,8,persuadee,"Okay, that's good to know. I'll make a $20 donation today and keep researching this charity. If it checks out like you say, then I'll consider upping any future donations",,,,,train
20180825-043229_970_live,9,persuader,This is great.  Thank you for your donation. ,grateful,8,no_strategy,0,train
20180825-043229_970_live,9,persuadee,No problem. Thank you for telling me about the charity. Have a great day,,,,,train
20180825-043341_782_live,0,persuader,"Hi, how much do you like to donate to the charity now",hopeful,20,no_strategy,0,train
20180825-043341_782_live,0,persuadee,I would definitely donate because I often donate to charities,,,,,train
20180825-043341_782_live,1,persuader,This donation will go to Save the children,caring,17,donation-information,6,train
20180825-043341_782_live,1,persuadee,This is a worthy organization because many children receive some benefits,,,,,train
20180825-043341_782_live,2,persuader,Can you specify the amount of donation,hopeful,20,no_strategy,0,train
20180825-043341_782_live,2,persuadee,I would donate $10 to this charity,,,,,train
20180825-043341_782_live,3,persuader,ok fine. The research team would collect the donations,confident,15,no_strategy,0,train
20180825-043341_782_live,3,persuadee,ok great-who is the research team?,,,,,train
20180825-043341_782_live,4,persuader,The researxh team will contact you,confident,15,donation-information,6,train
20180825-043341_782_live,4,persuadee,Ok-thanks-I will be waiting to hear from them,,,,,train
20180825-043341_782_live,5,persuader,Fine anything you want to know about the Save the children,trusting,3,credibility-appeal,2,train
20180825-043341_782_live,5,persuadee,I have seen information about this organization before,,,,,train
20180825-043341_782_live,6,persuader,"To brief you again Save  the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",confident,15,credibility-appeal,2,train
20180825-043341_782_live,6,persuadee,"Yes, it is a worthy organization and I do believe that it helps in many substantial ways.",,,,,train
